route_id,obs_len,ade_raw_m,fde_raw_m,ade_snapped_m,fde_snapped_m,ade_hybrid_snapped_m,fde_hybrid_snapped_m,hybrid_topk,hybrid_alpha
C007,12,28.6051,54.3323,29.0218,54.2731,25.6024,43.1969,6,0.35
C007,16,28.6091,55.3365,28.9691,55.3646,25.7631,43.385,6,0.35
C007,20,28.5897,56.2617,28.8837,56.1894,26.3072,49.3943,6,0.35
C008,12,27.6158,43.9846,27.8663,41.1035,13.409,22.0357,6,0.35
C008,16,27.4081,43.1185,27.7267,40.4212,13.3642,21.7996,6,0.35
C008,20,27.6102,42.7719,28.086,39.6622,13.3934,21.5755,6,0.35
C015,12,37.5,62.8313,42.0123,62.8439,45.3137,66.8321,6,0.35
C015,16,37.3738,62.6426,41.6428,62.3894,44.9104,66.2223,6,0.35
C015,20,37.1306,62.0405,41.3287,61.9388,26.4068,17.4395,6,0.35
C021,12,32.8908,50.5948,32.9713,57.4419,48.6242,110.1477,6,0.35
C021,16,33.0983,50.6924,33.1206,57.538,48.5554,110.1477,6,0.35
C021,20,33.7356,51.522,34.1496,58.28,46.8211,102.1709,6,0.35
G005,12,39.8023,60.0507,37.0475,63.7436,31.9056,60.5412,6,0.35
G005,16,39.8898,60.2995,37.219,64.0088,24.1261,49.8997,6,0.35
G005,20,39.6608,59.3057,36.9676,63.4246,22.7186,48.1007,6,0.35
G008,12,80.0076,130.3107,67.7071,110.2905,71.0121,126.3003,6,0.35
G008,16,78.9894,129.2756,67.5945,110.2905,70.2016,123.5687,6,0.35
G008,20,78.8991,129.0593,67.5681,110.2905,70.9156,125.3492,6,0.35
G011,12,28.1749,56.9206,30.3341,71.9193,24.9794,63.2324,6,0.35
G011,16,27.8781,56.3685,30.0711,71.3902,24.8913,63.0768,6,0.35
G011,20,27.59,55.7954,29.8445,70.9825,24.812,62.7933,6,0.35
G012,12,111.3107,124.9926,94.9081,103.2915,93.6433,103.2915,6,0.35
G012,16,110.4885,123.1393,94.8729,103.2915,93.6284,103.2915,6,0.35
G012,20,109.7386,121.556,94.8693,103.2915,93.6216,103.2915,6,0.35
G014,12,10.0052,15.9925,8.9432,15.7552,2.8756,3.1769,6,0.35
G014,16,9.9924,16.0521,8.9307,15.8287,2.8727,3.1769,6,0.35
G014,20,9.8939,16.2641,9.0479,16.3554,2.8537,5.2402,6,0.35
G018,12,16.9661,32.2884,15.771,30.7558,7.1625,12.2234,6,0.35
G018,16,16.8344,32.0446,15.6359,30.6643,7.12,12.2234,6,0.35
G018,20,16.6738,31.9015,15.4451,30.779,7.7045,14.6758,6,0.35
