route_id,obs_len,baseline_neighbor,adapt_neighbor,baseline_cos_dist,adapt_cos_dist,baseline_ade_raw_m,baseline_fde_raw_m,baseline_ade_snapped_m,baseline_fde_snapped_m,adapt_ade_raw_m,adapt_fde_raw_m,adapt_ade_snapped_m,adapt_fde_snapped_m,delta_ade_snapped_m,delta_fde_snapped_m
C001,12,G002,G002,0.090167,0.103617,65.0323,78.9857,65.1233,78.9857,65.0323,78.9857,65.1233,78.9857,0.0,0.0
C001,16,G002,G002,0.089745,0.10252,65.0323,78.9857,65.1233,78.9857,65.0323,78.9857,65.1233,78.9857,0.0,0.0
C001,20,G005,G002,0.092931,0.10718,24.5473,8.5434,24.6553,8.5434,65.0323,78.9857,65.1233,78.9857,40.4679,70.4423
C002,12,C022,C022,0.186812,0.188599,42.3443,16.5511,42.3925,16.5511,42.3443,16.5511,42.3925,16.5511,0.0,0.0
C002,16,C022,C022,0.19419,0.194725,42.3443,16.5511,42.3925,16.5511,42.3443,16.5511,42.3925,16.5511,0.0,0.0
C002,20,C022,C022,0.192603,0.193913,42.3443,16.5511,42.3925,16.5511,42.3443,16.5511,42.3925,16.5511,0.0,0.0
C003,12,C005,C005,0.010005,0.010764,10.254,28.8847,10.5179,28.8847,10.254,28.8847,10.5179,28.8847,0.0,0.0
C003,16,C005,C005,0.005426,0.005888,10.254,28.8847,10.5179,28.8847,10.254,28.8847,10.5179,28.8847,0.0,0.0
C003,20,C005,C005,0.003311,0.00342,10.254,28.8847,10.5179,28.8847,10.254,28.8847,10.5179,28.8847,0.0,0.0
C004,12,C008,C008,0.013817,0.018733,0.6213,0.0,0.8213,0.0,0.6213,0.0,0.8213,0.0,0.0,0.0
C004,16,C008,C008,0.006579,0.009147,0.6213,0.0,0.8213,0.0,0.6213,0.0,0.8213,0.0,0.0,0.0
C004,20,C008,C008,0.002295,0.003155,0.6213,0.0,0.8213,0.0,0.6213,0.0,0.8213,0.0,0.0,0.0
C005,12,C003,C003,0.006823,0.007256,10.254,28.8847,10.4224,28.8847,10.254,28.8847,10.4224,28.8847,0.0,0.0
C005,16,C003,C003,0.004008,0.004328,10.254,28.8847,10.4224,28.8847,10.254,28.8847,10.4224,28.8847,0.0,0.0
C005,20,C003,C003,0.003311,0.00342,10.254,28.8847,10.4224,28.8847,10.254,28.8847,10.4224,28.8847,0.0,0.0
C006,12,G002,G002,0.053032,0.049275,73.1689,92.475,73.2944,92.475,73.1689,92.475,73.2944,92.475,0.0,0.0
C006,16,G002,G002,0.05153,0.04817,73.1689,92.475,73.2944,92.475,73.1689,92.475,73.2944,92.475,0.0,0.0
C006,20,G002,G002,0.050788,0.047704,73.1689,92.475,73.2944,92.475,73.1689,92.475,73.2944,92.475,0.0,0.0
