route_id,obs_len,rank,neighbor_route_id,probability,cos_dist,ade_raw_m,fde_raw_m,ade_snapped_m,fde_snapped_m,corridor_dist_raw_m,corridor_dist_snapped_m,is_top1
C001,12,1,G002,0.256147,0.09207,65.0323,78.9857,65.1233,78.9857,0.2737,0.0,1
C001,12,2,G012,0.190508,0.106873,48.2096,93.901,48.1368,93.901,0.2604,0.0,0
C001,12,3,G005,0.176977,0.110556,24.5473,8.5434,24.6553,8.5434,0.2445,0.0,0
C001,12,4,G008,0.131927,0.125245,1.5281,0.0,1.7484,0.0,0.307,0.0,0
C001,12,5,G020,0.122357,0.12901,41.4521,29.3832,41.4786,29.3832,0.0631,0.0,0
C001,12,6,C023,0.122085,0.129122,50.4043,121.0612,50.4689,121.0612,0.3657,0.0,0
C001,16,1,G002,0.248097,0.092498,65.0323,78.9857,65.1233,78.9857,0.2737,0.0,1
C001,16,2,G012,0.193188,0.105006,48.2096,93.901,48.1368,93.901,0.2604,0.0,0
C001,16,3,G005,0.182598,0.107825,24.5473,8.5434,24.6553,8.5434,0.2445,0.0,0
C001,16,4,G008,0.130313,0.124692,1.5281,0.0,1.7484,0.0,0.307,0.0,0
C001,16,5,G020,0.122918,0.127614,41.4521,29.3832,41.4786,29.3832,0.0631,0.0,0
C001,16,6,C023,0.122887,0.127626,50.4043,121.0612,50.4689,121.0612,0.3657,0.0,0
C001,20,1,G002,0.222676,0.094952,65.0323,78.9857,65.1233,78.9857,0.2737,0.0,1
C001,20,2,G005,0.196452,0.101217,24.5473,8.5434,24.6553,8.5434,0.2445,0.0,0
C001,20,3,G012,0.196255,0.101268,48.2096,93.901,48.1368,93.901,0.2604,0.0,0
C001,20,4,C023,0.132802,0.120795,50.4043,121.0612,50.4689,121.0612,0.3657,0.0,0
C001,20,5,G020,0.127193,0.122953,41.4521,29.3832,41.4786,29.3832,0.0631,0.0,0
C001,20,6,G008,0.124621,0.123974,1.5281,0.0,1.7484,0.0,0.307,0.0,0
C002,12,1,C022,0.29708,0.180705,42.3443,16.5511,42.3925,16.5511,0.154,0.0,1
C002,12,2,C023,0.208079,0.198509,90.4916,132.7797,90.5981,132.7797,0.3657,0.0,0
C002,12,3,G011,0.133336,0.220762,81.3836,118.3636,81.3693,118.3636,0.1602,0.0,0
C002,12,4,C020,0.125322,0.223861,103.4572,124.3155,103.521,124.3155,0.4011,0.0,0
C002,12,5,G005,0.118593,0.22662,59.3018,104.0432,59.3084,104.0432,0.2445,0.0,0
C002,12,6,C017,0.117589,0.227046,66.9747,18.4222,66.9721,18.4222,0.4273,0.0,0
C002,16,1,C022,0.272748,0.19143,42.3443,16.5511,42.3925,16.5511,0.154,0.0,1
C002,16,2,C023,0.1992,0.207142,90.4916,132.7797,90.5981,132.7797,0.3657,0.0,0
C002,16,3,G011,0.153355,0.22022,81.3836,118.3636,81.3693,118.3636,0.1602,0.0,0
C002,16,4,C020,0.126785,0.229733,103.4572,124.3155,103.521,124.3155,0.4011,0.0,0
C002,16,5,C017,0.123963,0.230859,66.9747,18.4222,66.9721,18.4222,0.4273,0.0,0
C002,16,6,G005,0.123948,0.230865,59.3018,104.0432,59.3084,104.0432,0.2445,0.0,0
